year	proposal	development_status	development_by	link
2022	Kartographer icon improvements	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Miscellaneous/Kartographer_icon_improvements
2022	Audio links that play on click	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Multimedia_and_Commons/Audio_links_that_play_on_click
2022	Allow adding sitelink to redirect in Wikipedia section	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Wikidata/Allow_adding_sitelink_to_redirect_in_Wikipedia_section
2022	Show nearby or related articles in maps	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Miscellaneous/Show_nearby_or_related_articles_in_maps
2022	Do not follow sitelink redirects when redirect badge is used	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Wikidata/Do_not_follow_sitelink_redirects_when_redirect_badge_is_used
2022	Finish deployment of videojs (and remove kultura)	done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Multimedia_and_Commons/Finish_deployment_of_videojs_(and_remove_kultura)
2022	Alert View	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Alert_View
2022	Improve plain-text change tag selector	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Miscellaneous/Improve_plain-text_change_tag_selector
2022	Preference to set default watchlist expiry	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Watchlists/Preference_to_set_default_watchlist_expiry
2022	Watchlist in app	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Watchlist_in_app
2022	No option to enable/disable automatic signing in DiscussionTools	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Editing/No_option_to_enable/disable_automatic_signing_in_DiscussionTools
2022	Load images in metered networks only on demand	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Load_images_in_metered_networks_only_on_demand
2022	Search within article on iOS app	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Search_within_article_on_iOS_app
2023	Allow citations to be edited in the references section with VisualEditor	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Citations/Allow_citations_to_be_edited_in_the_references_section_with_VisualEditor
2023	Notifications for user page edits	done 	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Anti-harassment/Notifications_for_user_page_edits
2023	Extend "Who Wrote That?" tool to more wikis	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Reading/Extend_%22Who_Wrote_That%3F%22_tool_to_more_wikis
2023	Auto-save feature	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Editing/Auto-save_feature
2023	Warn when adding a url reference that matches the SpamBlacklist	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Citations/Warn_when_adding_a_url_reference_that_matches_the_SpamBlacklist
2023	Layering/timing of blocks	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Admins_and_patrollers/Layering/timing_of_blocks
2023	Add link to CentralAuth on Special:Contributions	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2023/Admins_and_patrollers/Add_link_to_CentralAuth_on_Special:Contributions
